Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Jhat Pat ,Jaffarabad ,,Balochistan,"71,634","33,930","37,703","52,892","24,348","28,543","18,742","9,582","9,160","111,318","57,552","53,765","76,136","39,346","36,789","35,182","18,206","16,976",64.35%,58.96%,70.13%,69.47%,61.88%,77.59%,53.27%,52.63%,53.96%,461,473,433,449,445,442,360,367,340,2,2,2,2,1,2,3,3,3,36.7,46.25,26.72,32.96,41.98,23.54,43.88,54.4,32.84,"71,634",483
Usta Mohammad ,Jaffarabad ,,Balochistan,"46,296","21,542","24,754","38,482","18,061","20,421","7,814","3,481","4,333","74,735","37,777","36,958","53,871","27,593","26,278","20,864","10,184","10,680",61.95%,57.02%,66.98%,71.43%,65.46%,77.71%,37.45%,34.18%,40.57%,432,459,400,468,480,444,289,299,279,1,1,1,3,3,3,2,2,2,38.17,45.95,30.30,28.01,35.04,20.83,58.91,68.52,49.36,"46,296",394
Gandawa ,Jhal Magsi ,,Balochistan,"15,713","6,812","8,901","11,687","4,917","6,770","4,026","1,895","2,131","25,188","12,323","12,865","17,459","8,749","8,710","7,729","3,574","4,155",62.38%,55.28%,69.19%,66.94%,56.20%,77.73%,52.09%,53.02%,51.29%,436,448,420,425,394,445,355,370,334,1,1,1,1,1,2,3,3,3,36.35,47.36,25.49,28.68,40.26,16.75,50.5,61.34,40.67,"15,713",157
Jhal Magsi ,Jhal Magsi ,,Balochistan,"30,580","14,422","16,156","30,580","14,422","16,156",0,0,0,"45,276","23,863","21,411","45,276","23,863","21,411",0,0,0,67.54%,60.44%,75.46%,67.54%,60.44%,75.46%,0.00%,0.00%,0.00%,482,482,482,429,428,417,1,1,1,2,2,2,2,2,1,1,1,1,26.82,32.63,20.53,26.82,32.63,20.53,-,-,-,"30,580",284
Mirpur ,Jhal Magsi ,,Balochistan,"4,115","1,742","2,373","4,115","1,742","2,373",0,0,0,"5,804","2,865","2,939","5,804","2,865","2,939",0,0,0,70.90%,60.80%,80.74%,70.90%,60.80%,80.74%,0.00%,0.00%,0.00%,515,486,523,463,432,472,1,1,1,3,3,3,3,3,3,1,1,1,24.86,33.05,16.85,24.86,33.05,16.85,-,-,-,"4,115",27
Balanari ,Kachhi ,,Balochistan,"15,136","7,549","7,587","15,136","7,549","7,587",0,0,0,"20,437","10,912","9,525","20,437","10,912","9,525",0,0,0,74.06%,69.18%,79.65%,74.06%,69.18%,79.65%,0.00%,0.00%,0.00%,540,545,516,494,504,462,1,1,1,5,4,5,4,5,4,1,1,1,32.21,40.07,23.35,32.21,40.07,23.35,-,-,-,"15,136",152
Bhag ,Kachhi ,,Balochistan,"18,049","8,387","9,662","15,808","7,456","8,352","2,241",931,"1,310","28,520","14,466","14,054","22,542","11,638","10,904","5,978","2,828","3,150",63.29%,57.98%,68.75%,70.13%,64.07%,76.60%,37.49%,32.92%,41.59%,448,464,418,457,470,431,290,287,288,2,2,2,2,2,3,5,5,5,35.24,45.39,24.82,28.41,37.38,19.08,57.14,71.82,42.7,"18,049",183
Dhadar ,Kachhi ,,Balochistan,"7,852","3,483","4,369","6,169","2,788","3,381","1,683",695,988,"15,353","7,650","7,703","9,882","4,974","4,908","5,471","2,676","2,795",51.14%,45.53%,56.72%,62.43%,56.05%,68.89%,30.76%,25.97%,35.35%,340,355,315,369,390,341,239,217,247,1,1,1,1,1,1,4,4,4,45.1,53.92,35.51,36.79,43.24,29.39,60.03,74.63,45.66,"7,852",82
Khattan ,Kachhi ,,Balochistan,"6,916","3,508","3,408","6,916","3,508","3,408",0,0,0,"9,650","5,120","4,530","9,650","5,120","4,530",0,0,0,71.67%,68.52%,75.23%,71.67%,68.52%,75.23%,0.00%,0.00%,0.00%,522,539,479,472,497,414,1,1,1,3,3,3,3,4,2,1,1,1,41.86,46.56,36.76,41.86,46.56,36.76,-,-,-,"6,916",65
Mach ,Kachhi ,,Balochistan,"22,902","11,490","11,407","7,945","3,495","4,450","14,957","7,995","6,957","31,325","16,423","14,897","10,530","5,304","5,226","20,795","11,119","9,671",73.11%,69.96%,76.57%,75.45%,65.89%,85.15%,71.93%,71.90%,71.94%,533,551,495,506,483,507,378,379,374,4,5,4,5,3,5,6,6,6,38.8,43.89,32.94,27.75,38.2,15.85,46.31,47.72,44.68,"22,902",220
Sanni ,Kachhi ,,Balochistan,"69,500","38,421","31,069","69,500","38,421","31,069",0,0,0,"77,942","44,928","33,004","77,942","44,928","33,004",0,0,0,89.17%,85.52%,94.14%,89.17%,85.52%,94.14%,0.00%,0.00%,0.00%,589,587,587,552,550,549,1,1,1,6,6,6,6,6,6,1,1,1,15.58,19.14,11.59,15.58,19.14,11.59,-,-,-,"69,500",480
Gazg ,Kalat ,,Balochistan,"1,860",874,985,1860,874,985,0,0,0,"2,841","1,568","1,272","2,841","1,568","1,272",0,0,0,65.47%,55.74%,77.44%,65.47%,55.74%,77.44%,0.00%,0.00%,0.00%,468,450,499,405,385,440,1,1,1,4,4,4,4,4,4,1,1,1,18.75,26.84,9.25,18.75,26.84,9.25,-,-,-,"1,860",5
Johan ,Kalat ,,Balochistan,"3,550","1,487","2,063","3,550","1,487","2,063",0,0,0,"5,636","2,876","2,760","5,636","2,876","2,760",0,0,0,62.99%,51.70%,74.75%,62.99%,51.70%,74.75%,0.00%,0.00%,0.00%,445,415,472,376,341,409,1,1,1,3,3,3,3,3,3,1,1,1,27.49,36.65,17.91,27.49,36.65,17.91,-,-,-,"3,550",22
Kalat ,Kalat ,,Balochistan,"30,205","12,061","18,142","25,952","10,576","15,374","4,253","1,485","2,768","63,992","33,237","30,753","47,555","24,367","23,186","16,437","8,870","7,567",47.20%,36.29%,58.99%,54.57%,43.40%,66.31%,25.87%,16.74%,36.58%,301,260,333,302,275,318,191,62,257,1,1,1,1,1,2,4,4,4,44.19,54.36,33.51,35.07,45.74,23.81,68.49,77.56,59.1,"30,205",280
Mangochar ,Kalat ,,Balochistan,"16,638","6,735","9,902","16,638","6,735","9,902",0,0,0,"29,934","14,854","15,079","29,934","14,854","15,079",0,0,0,55.58%,45.34%,65.67%,55.58%,45.34%,65.67%,0.00%,0.00%,0.00%,373,352,382,309,293,315,1,1,1,2,2,2,2,2,1,1,1,1,35.22,44.78,25.44,35.22,44.78,25.44,-,-,-,"16,638",168
Balnigore ,Kech ,,Balochistan,"7,461","3,388","4,073","7,461","3,388","4,073",0,0,0,"14,178","7,189","6,989","14,178","7,189","6,989",0,0,0,52.62%,47.13%,58.28%,52.62%,47.13%,58.28%,0.00%,0.00%,0.00%,350,372,330,280,302,265,1,1,1,4,4,4,3,3,3,1,1,1,38.77,44.49,32.49,38.77,44.49,32.49,-,-,-,"7,461",75
Buleda ,Kech ,,Balochistan,"17,625","8,467","9,150","6,390","3,181","3,209","11,235","5,286","5,941","32,251","17,133","15,108","9,231","4,996","4,235","23,020","12,137","10,873",54.65%,49.42%,60.56%,69.22%,63.67%,75.77%,48.81%,43.55%,54.64%,366,392,347,446,466,422,343,343,343,5,5,5,8,8,8,8,8,8,35.36,40.04,30.26,30.46,34.22,26.24,38.39,43.7,32.7,"17,625",179
Dasht ,Kech ,,Balochistan,"17,345","7,723","9,620","17,345","7,723","9,620",0,0,0,"29,207","14,372","14,833","29,207","14,372","14,833",0,0,0,59.39%,53.74%,64.86%,59.39%,53.74%,64.86%,0.00%,0.00%,0.00%,407,437,374,337,370,309,1,1,1,6,6,6,5,5,5,1,1,1,37.25,42.79,31.28,37.25,42.79,31.28,-,-,-,"17,345",178
Hoshab ,Kech ,,Balochistan,"13,780","6,686","7,094","13,780","6,686","7,094",0,0,0,"22,085","11,602","10,483","22,085","11,602","10,483",0,0,0,62.40%,57.63%,67.67%,62.40%,57.63%,67.67%,0.00%,0.00%,0.00%,437,460,410,368,403,333,1,1,1,7,7,7,6,6,6,1,1,1,30.71,37.29,23.22,30.71,37.29,23.22,-,-,-,"13,780",138
Mand ,Kech ,,Balochistan,"5,928","2,873","3,055","5,928","2,873","3,055",0,0,0,"14,007","7,124","6,883","14,007","7,124","6,883",0,0,0,42.32%,40.33%,44.38%,42.32%,40.33%,44.38%,0.00%,0.00%,0.00%,261,304,231,209,247,181,1,1,1,2,2,2,2,2,2,1,1,1,54.19,60.78,46.51,54.19,60.78,46.51,-,-,-,"5,928",48
Tump ,Kech ,,Balochistan,"21,361","10,279","11,081","14,963","7,202","7,761","6,398","3,077","3,320","42,340","22,575","19,764","28,361","15,193","13,168","13,979","7,382","6,596",50.45%,45.53%,56.07%,52.76%,47.40%,58.94%,45.77%,41.68%,50.33%,332,356,311,282,305,273,333,335,328,3,3,3,4,4,4,7,7,7,47.17,52.85,40.07,44.33,49.58,37.99,52.13,58.3,43.9,"21,361",208
Kech (Turbat) ,Kech ,,Balochistan,"43,143","19,706","23,433","19,736","8,328","11,407","23,407","11,378","12,026","140,179","71,445","68,729","63,550","30,913","32,636","76,629","40,532","36,093",30.78%,27.58%,34.09%,31.06%,26.94%,34.95%,30.55%,28.07%,33.32%,183,196,167,138,156,128,234,239,232,1,1,1,1,1,1,6,6,6,63.65,70.14,56.82,58.25,66.3,50.51,67.66,72.77,61.9,"43,143",373
Zamoran ,Kech ,,Balochistan,"10,074","5,257","4,815","10,074","5,257","4,815",0,0,0,"15,160","8,573","6,585","15,160","8,573","6,585",0,0,0,66.45%,61.32%,73.12%,66.45%,61.32%,73.12%,0.00%,0.00%,0.00%,475,489,456,420,439,386,1,1,1,8,8,8,7,7,7,1,1,1,28.97,31.63,25.84,28.97,31.63,25.84,-,-,-,"10,074",103
