Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Bahawalnagar,Bahawalnagar,,Punjab ,"99,947","51,204","48,736",84321,41943,42374,15626,9261,6362,"304,796","163,525","141,261","222,289","118,983","103,299","82,507","44,542","37,962",32.79%,31.31%,34.50%,37.93%,35.25%,41.02%,18.94%,20.79%,16.76%,196,225,173,180,207,158,93,136,71,4,3,4,4,4,4,1,1,1,53.51,61.49,44.83,45.86,55.24,35.68,71.1,75.81,65.96,"99,947",544
Chishtian,Bahawalnagar,,Punjab ,"74,969","39,877","35,081",61461,31961,29490,13508,7916,5591,255289,"136,457","118,819","187,202","99,847","87,345","68,087","36,610","31,474",29.37%,29.22%,29.52%,32.83%,32.01%,33.76%,19.84%,21.62%,17.76%,167,208,134,156,188,116,109,152,89,2,2,2,2,2,2,2,2,2,60.49,66.19,54.36,55.25,61.91,48.09,73.77,77.06,70.24,"74,969",492
Fort Abbas ,Bahawalnagar,,Punjab ,"48,264","26,197","22,065",38101,20056,18043,10163,6141,4022,"150,085","79,993","70,088","109,180","57,677","51,499","40,905","22,316","18,589",32.16%,32.75%,31.48%,34.90%,34.77%,35.04%,24.85%,27.52%,21.64%,193,236,149,166,205,129,181,232,138,3,4,3,3,3,3,4,4,4,61.36,66.89,55.33,57.54,63.74,50.83,71.89,75.54,67.88,"48,264",404
Haroonabad ,Bahawalnagar,,Punjab ,"46,118","25,049","21,067",32824,17265,15558,13294,7784,5509,"176,305","93,018","83,284","114,866","60,063","54,801","61,439","32,955","28,483",26.16%,26.93%,25.30%,28.58%,28.74%,28.39%,21.64%,23.62%,19.34%,131,187,109,113,170,92,139,183,104,1,1,1,1,1,1,3,3,3,66.28,71.13,61.12,62.61,68.28,56.58,73.11,76.42,69.58,"46,118",390
Minchinabad ,Bahawalnagar,,Punjab ,"75,583","38,074","37,508",65630,32316,33313,9953,5758,4195,"193,429","102,574","90,854","155,562","82,647","72,914","37,867","19,927","17,940",39.08%,37.12%,41.28%,42.19%,39.10%,45.69%,26.28%,28.90%,23.38%,234,268,211,208,235,187,197,253,157,5,5,5,5,5,5,5,5,5,44.05,52.2,35.16,40.27,49.08,30.64,58.95,64.59,52.87,"75,583",493
Ahmadpur East ,Bahawalpur,,Punjab ,"200,279","97,963","102,309",172141,83889,88250,28138,14074,14059,"411,139","210,104","201,024","307,886","157,378","150,503","103,253","52,726","50,521",48.71%,46.63%,50.89%,55.91%,53.30%,58.64%,27.25%,26.69%,27.83%,315,366,270,312,360,270,211,225,187,6,6,6,6,6,6,5,5,4,39.68,46.83,32.27,32.04,40.28,23.47,59.94,64.38,55.43,"200,279",583
Bahawalpur ,Bahawalpur,,Punjab ,"48,983","24,938","24,045",0,0,0,48983,24938,24045,"224,887","114,829","110,058",0,0,0,"224,887","114,829","110,058",21.78%,21.72%,21.85%,0.00%,0.00%,0.00%,21.78%,21.72%,21.85%,84,110,82,1,1,1,142,153,142,1,1,1,1,1,1,3,2,3,71.67,75.53,67.62,-,-,-,71.67,75.53,67.62,"48,983",406
Bahawalpur Saddar Tehsil,Bahawalpur,,Punjab ,"76,825","38,470","38,342",64453,32197,32248,12372,6273,6094,"198,677","101,341","97,312","158,970","80,841","78,115","39,707","20,500","19,197",38.67%,37.96%,39.40%,40.54%,39.83%,41.28%,31.16%,30.60%,31.74%,229,273,200,199,242,162,244,270,219,3,3,3,3,3,3,6,6,6,52.56,59.77,44.94,49.75,57.58,41.63,62.83,67.45,57.62,"76,825",496
Hasilpur ,Bahawalpur,,Punjab ,"43,225","21,260","21,961",31896,15526,16368,11329,5734,5593,"145,561","72,177","73,380","90,068","44,732","45,334","55,493","27,445","28,046",29.70%,29.46%,29.93%,35.41%,34.71%,36.11%,20.42%,20.89%,19.94%,170,211,139,170,204,139,119,140,113,2,2,2,2,2,2,1,1,1,59.64,65.16,54.10,55.24,61.65,48.8,66.52,70.66,62.38,"43,225",376
Khairpur Tamewali ,Bahawalpur,,Punjab ,"36,669","17,426","19,242",33086,15714,17372,3583,1712,1870,"85,679","43,121","42,556","72,444","36,532","35,911","13,235","6,589","6,645",42.80%,40.41%,45.22%,45.67%,43.01%,48.38%,27.07%,25.98%,28.14%,268,307,239,226,268,202,207,218,191,5,5,5,5,5,5,4,4,5,45.82,54.69,36.70,42.56,52.09,32.76,61.83,67.49,56.03,"36,669",333
Yazman ,Bahawalpur,,Punjab ,"81,783","40,341","41,440",78157,38506,39649,3626,1835,1791,"202,453","100,693","101,757","185,678","92,469","93,206","16,775","8,224","8,551",40.40%,40.06%,40.72%,42.09%,41.64%,42.54%,21.62%,22.31%,20.94%,244,299,208,205,257,169,138,161,131,4,4,4,4,4,4,2,3,2,53.55,58.41,48.52,51.57,56.66,46.28,73.24,76.21,70.33,"81,783",508
Bhakkar ,Bhakkar,,Punjab ,"60,782","29,586","31,194",53399,25036,28361,7383,4550,2833,"223,907","116,832","107,072","183,313","95,591","87,719","40,594","21,241","19,353",27.15%,25.32%,29.13%,29.13%,26.19%,32.33%,18.19%,21.42%,14.64%,143,171,130,118,147,108,82,148,50,1,3,1,1,3,1,3,3,2,58.56,67.54,49.03,54.4,64.2,44,74.93,80.7,68.81,"60,782",450
Darya Khan ,Bhakkar,,Punjab ,"34,942","16,630","18,310",30182,13707,16474,4760,2923,1836,"115,902","60,664","55,236","90,853","47,611","43,241","25,049","13,053","11,995",30.15%,27.41%,33.15%,33.22%,28.79%,38.10%,19.00%,22.39%,15.31%,177,192,156,159,171,149,95,162,55,4,4,2,4,4,3,4,4,3,51.09,62.18,39.31,46.57,58.8,33.57,66.36,73.61,58.7,"34,942",321
Kalur Kot ,Bhakkar,,Punjab ,"33,061","14,726","18,334",30458,13115,17342,2603,1611,992,"113,301","59,299","54,001","98,717","51,699","47,017","14,584","7,600","6,984",29.18%,24.83%,33.95%,30.85%,25.37%,36.88%,17.85%,21.20%,14.20%,164,163,165,137,134,142,76,144,46,2,2,3,2,1,2,2,2,1,55.43,69.18,40.98,52.48,67.27,36.94,73.77,80.97,66.17,"33,061",304
Mankera ,Bhakkar,,Punjab ,"25,567","10,967","14,600",23533,9870,13663,2034,1097,937,"84,828","44,284","40,543","73,394","38,135","35,258","11,434","6,149","5,285",30.14%,24.77%,36.01%,32.06%,25.88%,38.75%,17.79%,17.84%,17.73%,176,161,182,153,140,153,74,82,87,3,1,4,3,2,4,1,1,4,54.83,68.1,40.69,52.52,66.11,38.05,68.71,79.99,56.56,"25,567",245
Chakwal ,Chakwal,,Punjab ,"27,673","13,983","13,681",15683,7426,8257,11990,6557,5424,"183,871","94,535","89,326","121,291","62,462","58,828","62,580","32,073","30,498",15.05%,14.79%,15.32%,12.93%,11.89%,14.04%,19.16%,20.44%,17.78%,31,32,30,16,18,24,98,129,90,4,5,2,2,3,1,5,5,5,79.63,85.91,73.58,79.32,86.63,72.39,80.31,84.38,76.26,"27,673",258
Choa Saidan Shah ,Chakwal,,Punjab ,"5,504","2,513","2,991",3621,1580,2041,1883,933,950,"40,162","20,492","19,670","28,865","14,603","14,262","11,297","5,889","5,408",13.70%,12.26%,15.21%,12.54%,10.82%,14.31%,16.67%,15.84%,17.57%,20,17,27,15,13,25,60,50,84,1,1,1,1,1,2,4,3,4,79.28,86.21,72.08,79.96,86.64,73.08,77.18,84.93,68.9,"5,504",41
Kallar Kahar ,Chakwal,,Punjab ,"6,389","3,005","3,384",4577,2041,2536,1812,964,848,"46,071","24,069","22,002","33,862","17,674","16,188","12,209","6,395","5,814",13.87%,12.48%,15.38%,13.52%,11.55%,15.67%,14.84%,15.07%,14.59%,24,18,31,22,15,30,39,42,49,2,2,3,3,2,3,2,2,3,79.23,86.15,71.84,78.67,86.13,70.92,80.84,86.2,74.64,"6,389",57
Lawa ,Chakwal,,Punjab ,"5,314","2,310","3,004",4877,2066,2811,437,244,193,"33,829","17,795","16,034","29,310","15,299","14,011","4,519","2,496","2,023",15.71%,12.98%,18.74%,16.64%,13.50%,20.06%,9.67%,9.78%,9.54%,34,21,53,37,26,50,8,7,10,5,3,5,5,5,5,1,1,1,71.37,85.9,56.75,70.25,85.09,55.37,78.4,90.86,65.56,"5,314",38
Tala Gang ,Chakwal,,Punjab ,"15,907","7,417","8,490",12813,5584,7229,3094,1833,1261,"107,884","55,415","52,469","88,231","45,114","43,117","19,653","10,301","9,352",14.74%,13.38%,16.18%,14.52%,12.38%,16.77%,15.74%,17.79%,13.48%,27,23,34,32,20,36,48,81,36,3,4,4,4,4,4,3,4,2,75.63,86.48,64.91,74.17,86.15,62.37,82.59,88.01,77.15,"15,907",160
Bhawana ,Chiniot,,Punjab ,"37,717","15,757","21,958",34785,14332,20451,2932,1425,1507,"126,286","63,967","62,317","114,139","57,955","56,182","12,147","6,012","6,135",29.87%,24.63%,35.24%,30.48%,24.73%,36.40%,24.14%,23.70%,24.56%,174,158,177,132,126,140,171,185,168,3,2,3,2,1,2,2,2,3,48.94,61.48,36.07,48.13,61.15,34.76,56.68,64.64,48.68,"37,717",340
Chiniot ,Chiniot,,Punjab ,"53,691","24,966","28,722",30176,12769,17406,23515,12197,11316,"185,555","94,039","91,512","91,963","46,840","45,122","93,592","47,199","46,390",28.94%,26.55%,31.39%,32.81%,27.26%,38.58%,25.13%,25.84%,24.39%,161,186,147,155,157,152,184,215,167,2,3,2,3,3,3,3,3,2,57.31,65.35,48.92,47.16,59.18,34.66,67.03,71.24,62.64,"53,691",423
Lalian ,Chiniot,,Punjab ,"37,422","16,606","20,815",31532,13572,17959,5890,3034,2856,"140,505",70485,"70,018","105,377","53,195","52,181","35,128","17,290","17,837",26.63%,23.56%,29.73%,29.92%,25.51%,34.42%,16.77%,17.55%,16.01%,138,139,137,125,136,120,62,75,63,1,1,1,1,2,1,1,1,1,57.26,66.4,48.04,49.66,60.96,38.13,76.66,80.55,72.88,"37,422",339
Dera Ghazi Khan,Dera Ghazi Khan,,Punjab ,"216,301","99,623","116,674",176706,80571,96131,39595,19052,20543,"462,285","235,569","226,711","309,464","157,624","151,836","152,821","77,945","74,875",46.79%,42.29%,51.46%,57.10%,51.12%,63.31%,25.91%,24.44%,27.44%,295,325,277,317,335,295,192,197,185,2,2,2,3,4,3,3,3,3,47.25,54.65,39.77,34.64,43.75,25.61,66.9,71.28,62.36,"216,301",586
Koh e suleman,Dera Ghazi Khan,,Punjab ,"47,135","20,186","26,948",47135,20186,26948,0,0,0,"82,416","42,346","40,069","82,416","42,346","40,069",0,0,0,57.19%,47.67%,67.25%,57.19%,47.67%,67.25%,0.00%,0.00%,0.00%,388,375,403,318,308,328,1,1,1,4,4,4,4,2,4,1,1,1,36.04,51.53,19.45,36.04,51.53,19.45,-,-,-,"47,135",399
Kot Chatta,Dera Ghazi Khan,,Punjab ,"158,666","70,739","87,925",143036,64061,78973,15630,6678,8952,"297,592","150,764","146,826","258,386",131237,127147,39206,"19,527","19,679",53.32%,46.92%,59.88%,55.36%,48.81%,62.11%,39.87%,34.20%,45.49%,356,368,340,308,317,287,303,300,311,3,3,3,2,3,2,4,4,4,38.61,48.39,28.92,37.76,47.72,27.81,43.89,52.68,35.57,"158,666",575
Taunsa,Dera Ghazi Khan,,Punjab ,"92,863","41,680","51,182",83264,37191,46073,9599,4489,5109,"256,526","129,440","127,085","208,018","105,012","103,006","48,508","24,428","24,079",36.20%,32.20%,40.27%,40.03%,35.42%,44.73%,19.79%,18.38%,21.22%,214,230,207,197,208,183,108,92,132,1,1,1,1,1,1,2,2,2,57.96,68.38,46.94,53.67,64.84,41.86,74.33,81.86,66.34,"92,863",533
Chak Jhumra,Faisalabad,,Punjab ,"19,954","10,152","9,798",17856,9082,8770,2098,1070,1028,"99,638","51,565","48,069","84,392","43,818","40,570","15,246","7,747","7,499",20.03%,19.69%,20.38%,21.16%,20.73%,21.62%,13.76%,13.81%,13.71%,64,80,67,64,81,61,33,28,38,3,3,4,4,4,4,1,1,1,70.56,76.02,64.41,68.92,74.99,62,79.35,81.69,76.88,"19,954",195
Faisalabad City,Faisalabad,,Punjab ,"161,424","83,219","78,188",0,0,0,161424,83219,78188,"940,662","489,266","451,368",0,0,0,940662,489266,"451,368",17.16%,17.01%,17.32%,0.00%,0.00%,0.00%,17.16%,17.01%,17.32%,40,48,43,1,1,1,68,67,80,1,1,2,1,1,1,4,4,4,81.59,83.39,79.61,-,-,-,81.59,83.39,79.61,"161,424",576
Faisalabad Sadar,Faisalabad,,Punjab ,"94,382","50,698","43,683",89411,48257,41153,4971,2441,2530,"470,706","246,257","224,446","445,191","233,252","211,936","25,515","13,005","12,510",20.05%,20.59%,19.46%,20.08%,20.69%,19.42%,19.48%,18.77%,20.22%,66,92,60,52,80,45,103,95,118,4,4,3,3,3,3,6,5,6,71.25,75.09,67.05,71.15,75.05,66.89,72.93,75.87,69.83,"94,382",535
Jaranwala ,Faisalabad,,Punjab ,"102,416","51,896","50,513",90846,45970,44869,11570,5926,5644,"474,803","245,167","229,626","404,463","208,802","195,651","70,340","36,365","33,975",21.57%,21.17%,22.00%,22.46%,22.02%,22.93%,16.45%,16.30%,16.61%,80,104,86,73,96,67,57,53,68,5,5,5,5,5,5,3,3,3,66.32,72.08,59.97,63.77,69.99,56.94,79.81,83.06,76.17,"102,416",546
Summundri,Faisalabad,,Punjab ,"33,229","17,800","15,428",25209,13648,11560,8020,4152,3868,"193,114","99,641","93,471","143,372","74,047","69,323","49,742","25,594","24,148",17.21%,17.86%,16.51%,17.58%,18.43%,16.68%,16.12%,16.22%,16.02%,41,54,37,39,58,35,54,52,64,2,2,1,2,2,2,2,2,2,75.99,79.77,72.01,75.07,79.19,70.7,78.65,81.46,75.74,"33,229",305
Tandlian Wala ,Faisalabad,,Punjab ,"67,693","33,116","34,573",63139,30617,32518,4554,2499,2055,"230,927","121,092","109,830","206,015","107,969","98,041","24,912","13,123","11,789",29.31%,27.35%,31.48%,30.65%,28.36%,33.17%,18.28%,19.04%,17.43%,166,191,148,136,168,113,84,102,83,6,6,6,6,6,6,5,6,5,52.83,62.54,42.29,49.72,60.17,38.37,76.31,80.51,71.79,"67,693",472
Gujranwala ,Gujranwala ,,Punjab ,"138,687","77,152","61,523",0,0,0,138687,77152,61523,"670,914","340,418","330,480",0,0,0,"670,914","340,418","330,480",20.67%,22.66%,18.62%,0.00%,0.00%,0.00%,20.67%,22.66%,18.62%,72,122,52,1,1,1,127,165,96,4,3,4,1,1,1,3,3,3,79.39,79.88,78.88,-,-,-,79.39,79.88,78.88,"138,687",569
Gujranwala Saddar Tehsil,Gujranwala ,,Punjab ,"65,060","35,840","29,216",45406,25195,20209,19654,10645,9007,"304,669","152,082","152,581","211,601","105,847","105,752","93,068","46,235","46,829",21.35%,23.57%,19.15%,21.46%,23.80%,19.11%,21.12%,23.02%,19.23%,79,140,56,66,113,43,136,169,102,5,5,5,5,5,5,5,4,5,75.71,77.14,74.24,73.28,74.87,71.65,81.06,82.19,79.9,"65,060",464
Kamoke,Gujranwala ,,Punjab ,"38,585","21,260","17,324",21748,12026,9721,16837,9234,7603,"187,660","93,242","94,416","107,406","53,460","53,945","80,254","39,782","40,471",20.56%,22.80%,18.35%,20.25%,22.50%,18.02%,20.98%,23.21%,18.79%,70,124,48,54,102,41,132,172,97,3,4,3,4,4,4,4,5,4,73.04,75.07,70.96,71.74,74.22,69.19,74.72,76.16,73.25,"38,585",349
Nowshera Virkan,Gujranwala ,,Punjab ,"34,152","19,215","14,935",31298,17554,13742,2854,1661,1193,"182,154","92,753","89,398","163,071","82,733","80,335","19,083","10,020","9,063",18.75%,20.72%,16.71%,19.19%,21.22%,17.11%,14.96%,16.58%,13.16%,51,94,38,47,86,37,41,57,34,2,2,2,3,3,3,1,1,1,71.36,74.63,68.00,70.55,73.91,67.1,78.98,81.36,76.51,"34,152",310
Wazirabad,Gujranwala ,,Punjab ,"45,483","25,704","19,764",30390,17063,13317,15093,8641,6447,"260,836","131,666","129,151","164,819","82,889","81,919","96,017","48,777","47,232",17.44%,19.52%,15.30%,18.44%,20.59%,16.26%,15.72%,17.72%,13.65%,43,76,29,44,79,32,47,78,37,1,1,1,2,2,2,2,2,2,77.39,79.18,75.62,75.11,77.38,72.86,81.26,82.21,80.31,"45,483",387
Gujrat,Gujrat,,Punjab ,"65,602","37,396","28,200",27669,15927,11739,37933,21469,16461,"442,676","221,215","221,451","204,673","102,146","102,523","238,003","119,069","118,928",14.82%,16.90%,12.73%,13.52%,15.59%,11.45%,15.94%,18.03%,13.84%,28,47,17,23,40,9,51,85,41,2,2,2,2,2,2,2,2,2,82.48,85.26,79.70,80.18,84.37,76.03,84.47,86.02,82.91,"65,602",465
Kharian,Gujrat,,Punjab ,"41,003","23,538","17,461",29502,16813,12687,11501,6725,4774,"297,756","147,888","149,864","220,480","109,282","111,196","77,276","38,606","38,668",13.77%,15.92%,11.65%,13.38%,15.38%,11.41%,14.88%,17.42%,12.35%,21,37,10,19,39,8,40,72,29,1,1,1,1,1,1,1,1,1,79.69,83.81,75.58,78.42,82.65,74.43,83.09,86.61,79.01,"41,003",364
Sarai Alamgir ,Gujrat,,Punjab ,"11,599","6,693","4,906",7614,4470,3144,3985,2223,1762,"73,906","36,967","36,939","54,973","27,580","27,393","18,933","9,387","9,546",15.69%,18.11%,13.28%,13.85%,16.21%,11.48%,21.05%,23.68%,18.46%,33,55,19,25,45,10,133,184,94,3,3,3,3,3,3,3,3,3,81.55,86.09,77.05,80.24,85.38,75.12,85.51,88.26,82.81,"11,599",118
Hafizabad ,Hafizabad ,,Punjab ,38814,21173,17639,22452,12023,10428,16362,9150,7211,"203,289","101,292","101,993","111,375","55,265","56,108","91,914","46,027","45,885",19.09%,20.90%,17.29%,20.16%,21.76%,18.59%,17.80%,19.88%,15.72%,53,100,42,53,92,42,75,117,60,1,1,1,1,1,1,1,1,1,70.89,74.41,67.25,66.79,71.12,62.34,75.88,78.4,73.26,"38,814",351
Pindi Bhattian ,Hafizabad ,,Punjab ,39953,20769,19183,29175,14870,14304,10778,5899,4879,"159,348","80,520","78,827","113,447","57,585","55,861","45,901","22,935","22,966",25.07%,25.79%,24.34%,25.72%,25.82%,25.61%,23.48%,25.72%,21.24%,120,178,104,92,138,81,166,213,133,2,2,2,2,2,2,2,2,2,58.7,65.62,51.45,55.11,62.73,47.08,67.38,72.66,61.91,"39,953",358
Athara Hazari,Jhang ,,Punjab ,26139,11995,14143,24308,10973,13334,1831,1022,809,"98,461","51,274","47,186","89,507","46,527","42,979","8,954","4,747","4,207",26.55%,23.39%,29.97%,27.16%,23.58%,31.02%,20.45%,21.53%,19.23%,137,135,141,103,111,102,120,149,101,3,2,3,1,1,2,4,4,4,58.05,70.38,44.99,58.03,70.61,44.74,58.22,68.08,47.55,"26,139",248
Ahmadpur Sial ,Jhang ,,Punjab ,38488,18275,20212,34447,16180,18266,4041,2095,1946,"148,833","78,140","70,691","125,154","65,757","59,395","23,679","12,383","11,296",25.86%,23.39%,28.59%,27.52%,24.61%,30.75%,17.07%,16.92%,17.23%,127,134,126,106,124,99,67,65,79,1,1,1,2,2,1,3,3,3,56.87,67.97,45.01,54.76,66.47,42.23,67.18,75.42,58.55,"38,488",347
Jhang ,Jhang ,,Punjab ,124456,59354,65095,95504,44363,51139,28952,14991,13956,"472,391","247,082","225,300","300,589","157,410","143,175","171,802","89,672","82,125",26.35%,24.02%,28.89%,31.77%,28.18%,35.72%,16.85%,16.72%,16.99%,133,149,128,146,166,134,64,59,77,2,3,2,3,3,3,2,2,2,60.96,69.53,51.76,51.74,62.47,40.21,75.22,80.49,69.6,"124,456",563
Shorkot ,Jhang ,,Punjab ,56680,26648,30032,53529,25058,28471,3151,1590,1561,"180,605","94,558","86,045","161,703","84,958","76,743","18,902","9,600","9,302",31.38%,28.18%,34.90%,33.10%,29.49%,37.10%,16.67%,16.56%,16.78%,188,202,175,158,177,146,61,56,72,4,4,4,4,4,4,1,1,1,58.12,68.04,47.53,55.61,66.13,44.33,77.01,82.69,71.22,"56,680",435
Dina ,Jhelum ,,Punjab ,6997,3730,3267,4253,2223,2030,2744,1507,1237,"64,478","33,677","30,801","39,696","20,645","19,051","24,782","13,032","11,750",10.85%,11.08%,10.61%,10.71%,10.77%,10.66%,11.07%,11.56%,10.53%,6,10,6,7,12,5,13,12,19,1,2,1,1,2,1,3,3,3,84.75,89.52,79.63,84.42,89.97,78.55,85.34,88.75,81.57,"6,997",68
Jhelum ,Jhelum ,,Punjab ,15786,8452,7334,6348,3254,3094,9438,5198,4240,"122,191","63,187","59,004","47,424","24,454","22,970","74,767","38,733","36,034",12.92%,13.38%,12.43%,13.39%,13.31%,13.47%,12.62%,13.42%,11.77%,16,22,14,20,25,21,24,26,24,3,3,3,3,3,3,4,4,4,83.45,87.32,79.41,80.63,86.64,74.45,85.22,87.74,82.58,"15,786",158
Pind Dadan Khan ,Jhelum ,,Punjab ,13320,6229,7091,11893,5440,6453,1427,789,638,"88,811","45,626","43,185",73766,37870,35896,"15,045","7,756","7,289",15.00%,13.65%,16.42%,16.12%,14.36%,17.98%,9.48%,10.17%,8.75%,30,25,36,36,33,40,7,8,7,4,4,4,4,4,4,1,1,1,73.98,82.18,65.57,72.37,81.1,63.44,81.55,87.18,75.67,"13,320",131
Sohawa ,Jhelum ,,Punjab ,6014,2924,3090,4438,2060,2378,1576,864,712,"54,422","28,221","26,199","39,639","20,602","19,035","14,783","7,619","7,164",11.05%,10.36%,11.79%,11.20%,10.00%,12.49%,10.66%,11.34%,9.94%,7,7,11,8,9,16,12,11,16,2,1,2,2,1,2,2,2,2,80.41,88.38,72.49,79.9,88.36,71.43,81.83,88.42,75.38,"6,014",49
Chunian ,Kasur ,,Punjab ,65713,33643,32065,55170,27497,27670,10543,6146,4395,"288,696","145,754","142,935","228,828","115,364","113,460","59,868","30,390","29,475",22.76%,23.08%,22.43%,24.11%,23.83%,24.39%,17.61%,20.22%,14.91%,97,127,92,85,115,75,73,125,52,2,2,2,2,2,2,1,1,1,60.64,66.58,54.43,58.23,64.53,51.63,69.65,74.33,64.83,"65,713",466
Kasur ,Kasur ,,Punjab ,97678,50366,47305,60698,30006,30692,36980,20360,16613,"443,129","222,381","220,741","254,959","128,051","126,908","188,170","94,330","93,833",22.04%,22.65%,21.43%,23.81%,23.43%,24.18%,19.65%,21.58%,17.70%,87,121,77,83,109,74,106,150,86,1,1,1,1,1,1,2,2,3,63.63,68.19,58.82,60.96,66.79,54.76,66.89,69.92,63.75,"97,678",540
Kot Radha Kishen ,Kasur ,,Punjab ,33355,16915,16438,27412,13651,13760,5943,3264,2678,"122,936","61,661","61,272","95,708","47,893","47,813","27,228","13,768","13,459",27.13%,27.43%,26.83%,28.64%,28.50%,28.78%,21.83%,23.71%,19.90%,142,193,117,114,169,93,144,186,112,4,4,4,4,4,4,4,4,4,64.66,69.73,59.20,61.59,67.02,55.68,74.07,78.17,69.77,"33,355",306
Pattoki ,Kasur ,,Punjab ,77616,39606,37984,64911,32457,32442,12705,7149,5542,"308,897","155,330","153,539","245,780","123,737","122,030","63,117","31,593","31,509",25.13%,25.50%,24.74%,26.41%,26.23%,26.59%,20.13%,22.63%,17.59%,121,173,105,99,148,84,114,164,85,3,3,3,3,3,3,3,3,2,62.98,68.19,57.44,60.91,66.59,54.84,70.47,74.08,66.75,"77,616",498
Jahanian ,Khanewal ,,Punjab ,24529,12216,12310,22867,11348,11518,1662,868,792,"109,062","56,330","52,729","95,069","49,062","46,006","13,993","7,268","6,723",22.49%,21.69%,23.35%,24.05%,23.13%,25.04%,11.88%,11.94%,11.78%,94,107,95,84,106,78,20,13,25,1,1,1,1,1,1,1,1,1,65.65,73.34,57.73,63.06,71.31,54.53,82.26,86.42,78.04,"24,529",235
Kabirwala ,Khanewal ,,Punjab ,110210,52764,57430,99733,47660,52064,10477,5104,5366,"332,258","174,781","157,461","281,162","148,335","132,818","51,096","26,446","24,643",33.17%,30.19%,36.47%,35.47%,32.13%,39.20%,20.50%,19.30%,21.77%,198,216,185,172,189,154,122,107,140,4,4,4,4,4,4,4,4,4,54.13,63.66,43.81,50.53,60.65,39.51,72.05,78.95,64.85,"110,210",553
Khanewal ,Khanewal ,,Punjab ,72763,35832,36925,58568,28435,30127,14195,7397,6798,"282,023","147,067","134,949","196,529","102,844","93,679","85,494","44,223","41,270",25.80%,24.36%,27.36%,29.80%,27.65%,32.16%,16.60%,16.73%,16.47%,125,155,122,124,159,107,58,60,67,3,3,3,3,3,3,3,2,3,63.6,71.07,55.61,56.71,65.8,46.93,78.05,82.13,73.71,"72,763",487
Mian Channu ,Khanewal ,,Punjab ,62517,31284,31232,55212,27108,28103,7305,4176,3129,"247,975","129,050","118,922","200,459","104,340","96,116","47,516","24,710","22,806",25.21%,24.24%,26.26%,27.54%,25.98%,29.24%,15.37%,16.90%,13.72%,122,153,116,107,143,94,45,64,39,2,2,2,2,2,2,2,3,2,64.39,72.49,56.04,60.06,69.37,50.44,80.8,84.35,77.19,"62,517",454
Khushab ,Khushab ,,Punjab ,40658,20167,20490,25566,11590,13975,15092,8577,6515,"202,861","105,948","96,912","114,385","59,444","54,940","88,476","46,504","41,972",20.04%,19.03%,21.14%,22.35%,19.50%,25.44%,17.06%,18.44%,15.52%,65,69,75,71,67,80,66,94,58,2,3,2,2,3,2,2,2,2,65.94,76.68,54.74,60.86,74.04,47.06,72.61,80.16,64.78,"40,658",362
Noorpur ,Khushab ,,Punjab ,17063,6901,10162,16354,6551,9803,709,350,359,"70,553","36,824","33,729","65,388","34,153","31,235","5,165","2,671","2,494",24.18%,18.74%,30.13%,25.01%,19.18%,31.38%,13.73%,13.10%,14.39%,111,66,142,89,64,105,32,21,48,3,2,3,3,2,3,1,1,1,55.58,73.41,37.51,54.1,72.3,35.67,73.22,86.64,59.55,"17,063",173
Naushera ,Khushab ,,Punjab ,6097,2853,3243,5234,2368,2865,863,485,378,"33,818","17,500","16,317","29,231","15,145","14,085","4,587","2,355","2,232",18.03%,16.30%,19.87%,17.91%,15.64%,20.34%,18.81%,20.59%,16.94%,47,41,63,42,41,52,91,132,76,1,1,1,1,1,1,3,3,3,70.43,82.89,58.31,69.78,82.8,57.02,74.55,83.44,66.32,"6,097",50
Quaidabad ,Khushab ,,Punjab ,20991,9307,11684,19279,8197,11082,1712,1110,602,"74,001","39,108","34,892","66,839","35,012","31,826","7,162","4,096","3,066",28.37%,23.80%,33.49%,28.84%,23.41%,34.82%,23.90%,27.10%,19.63%,155,143,160,115,108,126,169,228,109,4,4,4,4,4,4,4,4,4,55.11,70.86,38.52,53.45,69.93,36.21,72.16,79.98,63.29,"20,991",205
